Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.15,"0.580 (0.557, 0.557)","0.842 (0.833, 0.833)","0.269 (0.250, 0.250)","0.853 (0.840, 0.840)","0.036 (0.025, 0.025)",AlloSure
0.16,"0.580 (0.557, 0.557)","0.853 (0.844, 0.844)","0.269 (0.250, 0.250)","0.864 (0.854, 0.854)","0.039 (0.028, 0.028)",AlloSure
0.17,"0.580 (0.557, 0.557)","0.861 (0.852, 0.852)","0.226 (0.200, 0.200)","0.874 (0.862, 0.862)","0.036 (0.031, 0.031)",AlloSure
0.18,"0.580 (0.557, 0.557)","0.870 (0.860, 0.860)","0.206 (0.185, 0.185)","0.884 (0.870, 0.870)","0.036 (0.031, 0.031)",AlloSure
0.19,"0.580 (0.557, 0.557)","0.880 (0.874, 0.874)","0.198 (0.148, 0.148)","0.894 (0.885, 0.885)","0.037 (0.035, 0.035)",AlloSure
0.2,"0.580 (0.557, 0.557)","0.890 (0.886, 0.886)","0.198 (0.148, 0.148)","0.904 (0.896, 0.896)","0.041 (0.039, 0.039)",AlloSure
0.21,"0.580 (0.557, 0.557)","0.894 (0.888, 0.888)","0.137 (0.120, 0.120)","0.909 (0.900, 0.900)","0.030 (0.021, 0.021)",AlloSure
0.22,"0.580 (0.557, 0.557)","0.898 (0.890, 0.890)","0.137 (0.120, 0.120)","0.914 (0.903, 0.903)","0.032 (0.021, 0.021)",AlloSure
0.23,"0.580 (0.557, 0.557)","0.904 (0.898, 0.898)","0.123 (0.111, 0.111)","0.919 (0.911, 0.911)","0.032 (0.023, 0.023)",AlloSure
0.24,"0.580 (0.557, 0.557)","0.908 (0.900, 0.900)","0.111 (0.071, 0.071)","0.924 (0.914, 0.914)","0.031 (0.012, 0.012)",AlloSure
0.25,"0.580 (0.557, 0.557)","0.910 (0.902, 0.902)","0.098 (0.071, 0.071)","0.926 (0.916, 0.916)","0.029 (0.012, 0.012)",AlloSure
0.26,"0.580 (0.557, 0.557)","0.913 (0.905, 0.905)","0.098 (0.071, 0.071)","0.929 (0.919, 0.919)","0.031 (0.013, 0.013)",AlloSure
0.27,"0.580 (0.557, 0.557)","0.916 (0.908, 0.908)","0.098 (0.071, 0.071)","0.933 (0.922, 0.922)","0.033 (0.013, 0.013)",AlloSure
0.28,"0.580 (0.557, 0.557)","0.918 (0.910, 0.910)","0.098 (0.071, 0.071)","0.934 (0.925, 0.925)","0.033 (0.014, 0.014)",AlloSure
0.29,"0.580 (0.557, 0.557)","0.920 (0.912, 0.912)","0.091 (0.071, 0.071)","0.937 (0.927, 0.927)","0.031 (0.014, 0.014)",AlloSure
0.3,"0.580 (0.557, 0.557)","0.922 (0.913, 0.913)","0.076 (0.062, 0.062)","0.939 (0.928, 0.928)","0.030 (0.014, 0.014)",AlloSure
