Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.44,"0.673 (0.638, 0.638)","0.853 (0.841, 0.841)","0.368 (0.304, 0.304)","0.871 (0.863, 0.863)","0.103 (0.083, 0.083)",AlloSure
0.45,"0.673 (0.638, 0.638)","0.855 (0.841, 0.841)","0.353 (0.304, 0.304)","0.873 (0.863, 0.863)","0.100 (0.083, 0.083)",AlloSure
0.46,"0.673 (0.638, 0.638)","0.856 (0.844, 0.844)","0.353 (0.304, 0.304)","0.874 (0.867, 0.867)","0.101 (0.085, 0.085)",AlloSure
0.47000000000000003,"0.673 (0.638, 0.638)","0.857 (0.848, 0.848)","0.345 (0.304, 0.304)","0.876 (0.870, 0.870)","0.101 (0.087, 0.087)",AlloSure
0.48,"0.673 (0.638, 0.638)","0.859 (0.850, 0.850)","0.345 (0.304, 0.304)","0.878 (0.872, 0.872)","0.103 (0.089, 0.089)",AlloSure
0.49,"0.673 (0.638, 0.638)","0.860 (0.851, 0.851)","0.337 (0.304, 0.304)","0.879 (0.874, 0.874)","0.100 (0.090, 0.090)",AlloSure
0.5,"0.673 (0.638, 0.638)","0.861 (0.851, 0.851)","0.337 (0.304, 0.304)","0.880 (0.874, 0.874)","0.101 (0.090, 0.090)",AlloSure
0.51,"0.673 (0.638, 0.638)","0.862 (0.855, 0.855)","0.329 (0.304, 0.304)","0.881 (0.877, 0.877)","0.099 (0.092, 0.092)",AlloSure
0.52,"0.673 (0.638, 0.638)","0.864 (0.855, 0.855)","0.320 (0.304, 0.304)","0.884 (0.877, 0.877)","0.099 (0.092, 0.092)",AlloSure
0.53,"0.673 (0.638, 0.638)","0.865 (0.856, 0.856)","0.296 (0.304, 0.304)","0.886 (0.879, 0.879)","0.094 (0.087, 0.087)",AlloSure
0.54,"0.673 (0.638, 0.638)","0.866 (0.858, 0.858)","0.284 (0.304, 0.304)","0.888 (0.881, 0.881)","0.092 (0.089, 0.089)",AlloSure
0.55,"0.673 (0.638, 0.638)","0.869 (0.860, 0.860)","0.277 (0.296, 0.296)","0.891 (0.883, 0.883)","0.093 (0.082, 0.082)",AlloSure
0.56,"0.673 (0.638, 0.638)","0.870 (0.862, 0.862)","0.277 (0.296, 0.296)","0.892 (0.884, 0.884)","0.095 (0.082, 0.082)",AlloSure
0.5700000000000001,"0.673 (0.638, 0.638)","0.872 (0.863, 0.863)","0.277 (0.296, 0.296)","0.893 (0.886, 0.886)","0.096 (0.083, 0.083)",AlloSure
0.58,"0.673 (0.638, 0.638)","0.872 (0.865, 0.865)","0.277 (0.296, 0.296)","0.894 (0.888, 0.888)","0.096 (0.084, 0.084)",AlloSure
0.59,"0.673 (0.638, 0.638)","0.873 (0.865, 0.865)","0.269 (0.292, 0.292)","0.896 (0.888, 0.888)","0.095 (0.086, 0.086)",AlloSure
