Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.49,"0.659 (0.614, 0.614)","0.906 (0.898, 0.898)","0.248 (0.241, 0.241)","0.920 (0.911, 0.911)","0.065 (0.043, 0.043)",AlloSure
0.5,"0.659 (0.614, 0.614)","0.907 (0.899, 0.899)","0.248 (0.241, 0.241)","0.921 (0.912, 0.912)","0.066 (0.043, 0.043)",AlloSure
0.51,"0.659 (0.614, 0.614)","0.908 (0.900, 0.900)","0.242 (0.215, 0.215)","0.922 (0.914, 0.914)","0.065 (0.043, 0.043)",AlloSure
0.52,"0.659 (0.614, 0.614)","0.909 (0.901, 0.901)","0.238 (0.215, 0.215)","0.924 (0.915, 0.915)","0.066 (0.044, 0.044)",AlloSure
0.53,"0.659 (0.614, 0.614)","0.911 (0.903, 0.903)","0.230 (0.215, 0.215)","0.926 (0.917, 0.917)","0.065 (0.045, 0.045)",AlloSure
0.54,"0.659 (0.614, 0.614)","0.912 (0.904, 0.904)","0.225 (0.215, 0.215)","0.927 (0.918, 0.918)","0.065 (0.042, 0.042)",AlloSure
0.55,"0.659 (0.614, 0.614)","0.914 (0.906, 0.906)","0.221 (0.215, 0.215)","0.929 (0.920, 0.920)","0.065 (0.043, 0.043)",AlloSure
0.56,"0.659 (0.614, 0.614)","0.915 (0.908, 0.908)","0.221 (0.215, 0.215)","0.930 (0.922, 0.922)","0.066 (0.043, 0.043)",AlloSure
0.5700000000000001,"0.659 (0.614, 0.614)","0.916 (0.909, 0.909)","0.221 (0.215, 0.215)","0.931 (0.923, 0.923)","0.068 (0.044, 0.044)",AlloSure
0.58,"0.659 (0.614, 0.614)","0.918 (0.909, 0.909)","0.221 (0.215, 0.215)","0.933 (0.923, 0.923)","0.069 (0.045, 0.045)",AlloSure
0.59,"0.659 (0.614, 0.614)","0.918 (0.911, 0.911)","0.218 (0.207, 0.207)","0.933 (0.924, 0.924)","0.068 (0.045, 0.045)",AlloSure
